tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
Wir #FREIEWÄHLER setzen ein Zeichen #gegenAntisemitismus und für Solidarität mit der jüdischen Gemeinde in #BAYERN und unterstützen den Neubau der Synagoge in #Regenburg mit einer Million Euro: https://t.co/2JUPtdTfSe,fwlandtag,2019-05-15 10:11:01,6,2,"FREIEWÄHLER, gegenAntisemitismus, BAYERN, Regenburg",,https://t.co/2JUPtdTfSe,1128603684819042304,tweet
"Parlamentarischer Abend der FREIE WÄHLER Landtagsfraktion ""Happy Birthda... https://t.co/SyeOKYOI8p via @YouTube",fwlandtag,2019-05-14 12:58:41,5,3,,YouTube,https://t.co/SyeOKYOI8p,1128283490028523521,tweet
Bauminister #Reichhart will die #Grunderwerbssteuer für Erstkäufer abschaffen. Das finden wir gut - schließlich haben wir deren Abschaffung schon in der letzten Legislaturperiode und im Koalitionsvertrag gefordert: https://t.co/Kith7RxtPD,fwlandtag,2019-05-09 15:51:16,4,2,"Reichhart, Grunderwerbssteuer",,https://t.co/Kith7RxtPD,1126514984765284353,tweet
Linke Kampfparolen und rechte Hetze haben den öffentlichen Diskurs der letzten Wochen geprägt. Im #Plenum distanzieren wir #FREIEWÄHLER uns heute mit aller Deutlichkeit von sozialistischen und nationalistischen Auswüchsen: https://t.co/lAJXI4ykUY,fwlandtag,2019-05-08 16:37:43,2,1,"Plenum, FREIEWÄHLER",,https://t.co/lAJXI4ykUY,1126164286001287170,tweet
Laut UN-Artenschutzbericht sind eine Million Arten vom Aussterben bedroht – wir #FREIEWÄHLER haben die Zeichen der Zeit erkannt und haben heute im #Plenum gemeinsam mit der #CSU eines der umfangreichsten Artenschutzgesetze Europas auf den Weg gebracht. https://t.co/Ngz22p3pzl https://t.co/1hcOAFmy7v,fwlandtag,2019-05-08 16:21:48,1,1,"FREIEWÄHLER, Plenum, CSU",,https://t.co/Ngz22p3pzl,1126160278520041473,tweet
Ob Chrissi Lindner das so gemeint hat? https://t.co/HZs3Mudkfv,DiePARTEI,2019-05-22 21:22:08,756,68,,,,1131309292055871489,tweet
"@Bayernpartei Ihr habt PARTEI-O-MAT falsch geschrieben...
https://t.co/TQdSrLovVK",DiePARTEI,2019-05-22 20:43:00,104,2,,Bayernpartei,https://t.co/TQdSrLovVK,1131299442219454464,tweet
Wenn der verrückte Professor das sagt https://t.co/MjM8Bpmoje,DiePARTEI,2019-05-22 19:14:12,1174,94,,,,1131277096037302273,tweet
@DocGee https://t.co/S2uudhnUzJ,DiePARTEI,2019-05-22 18:53:45,2,0,,DocGee,,1131271948770656257,tweet
💯 000 Follower! Wir sind begeistert 😍 https://t.co/eJh7WJRYr8,DiePARTEI,2019-05-22 15:11:04,2038,133,,,,1131215910113599488,tweet
@Medienhektor Kennen Sie unsere Kandidierenden persönlich oder wie kommen Sie zu der Einschätzung ihrer politischen Ansicht?,DiePARTEI,2019-05-22 14:10:25,555,12,,Medienhektor,,1131200645418102785,tweet
