tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
"@TobiasT89457299 @woelken @rezomusik Wir wollten die EU-Agrarpolitik grundlegend ändern und Subventionen an Boden-, Wasser- und Tierschutz koppeln. War natürlich mit CDU/CSU/FDP nicht machbar. Stattdessen werden weiterhin Hektarprämien gezahlt. https://t.co/P0TbWkcnPC",SPDEuropa,2019-05-22 14:33:54,45,5,,"TobiasT89457299, woelken, rezomusik",https://t.co/P0TbWkcnPC,1131206556287156226,tweet
"@Zwitscherkunkel @berndlange @SPOE_at @spdde @SPDNDS @WahlkampfSPD Stimmt, was fällt uns bloß ein? 😉 https://t.co/H8fpg9nT7g",SPDEuropa,2019-05-22 14:03:05,2,0,,"Zwitscherkunkel, berndlange, SPOE_at, spdde, SPDNDS, WahlkampfSPD",https://t.co/H8fpg9nT7g,1131198801442725888,tweet
@niggi @mathiasrichel https://t.co/S2tubjI5o7,SPDEuropa,2019-05-22 11:37:09,1,0,,"niggi, mathiasrichel",https://t.co/S2tubjI5o7,1131162077559705601,tweet
".@woelken sprach mit dem @BVDW über die wichtigsten Themen der Digitalbranche: ""Ich befürchte, dass wir die letzten fünf Jahre nicht so genutzt haben, wie es hätte sein müssen, um die #EU wirklich fit für das digitale Zeitalter zu machen."" #Europawahl2019 https://t.co/ulIY9EuCdx",SPDEuropa,2019-05-22 09:37:33,0,1,"EU, Europawahl2019","woelken, BVDW",https://t.co/ulIY9EuCdx,1131131978957414400,tweet
"@SteffenOstin Gute Frage: 15,99 € monatlich.",SPDEuropa,2019-05-22 09:24:05,1,0,,SteffenOstin,,1131128589427138560,tweet
"Die EU kostet uns so viel wie ein #Netflix-Abo. Und was wir dafür erhalten, ist der Wahnsinn! #EuropaistdieAntwort #Europawahl2019 #ItsTime #ThisTimeImVoting https://t.co/SvXs07Fa8R",SPDEuropa,2019-05-22 09:11:14,26,3,"Netflix, EuropaistdieAntwort, Europawahl2019, ItsTime, ThisTimeImVoting",,https://t.co/SvXs07Fa8R,1131125354599538688,tweet
"„Das Europaparlament wird das #Spitzenkandidaten-Prinzip durchsetzen, sonst nimmt keiner mehr eine Schnitte Brot von uns. Kein Mensch will zu einem EU-Kommisionschef wie Barroso zurück - Schoßhündchen der Regierungschefs“: @EuropaJens (r) bei M. Beermann, @rponline-Auslandschef https://t.co/sANDb8rhnS",SPDEuropa,2019-05-20 15:58:51,14,3,Spitzenkandidaten,"EuropaJens, rponline",,1130503159145799684,tweet
Gleicher Lohn für gleiche Arbeit am gleichen Ort. Dafür haben wir uns im Europäischen Parlament stark gemacht. #EuropaistdieAntwort #FaireArbeit #Europawahl2019 https://t.co/FgFkkcoydR,SPDEuropa,2019-05-20 15:07:35,19,2,"EuropaistdieAntwort, FaireArbeit, Europawahl2019",,https://t.co/FgFkkcoydR,1130490256288100353,tweet
"Heute ist #Weltbienentag! Ein erster Schritt zum Schutz der #Bienen war das Verbot von Neonicotinoiden in der EU. Was noch fehlt, ist ein Wechsel zu einer naturverträglichen EU-Agrarpolitik. #EuropaistdieAntwort #Europawahl2019 #Landwirtschaft #Artensterben https://t.co/eionffFIeS",SPDEuropa,2019-05-20 09:07:31,17,2,"Weltbienentag, Bienen, EuropaistdieAntwort, Europawahl2019, Landwirtschaft, Artensterben",,,1130399643714686977,tweet
"@DMauserr Ja, kommt gleich.",SPDEuropa,2019-05-17 09:25:12,2,0,,DMauserr,,1129316931775979520,tweet
"Liebe, wen du willst! 🏳️‍🌈🇪🇺#IDAHOBIT #IDAHOT2019 #EuropaistdieAntwort #Liebe #Europawahl2019 https://t.co/slbskCLga7",SPDEuropa,2019-05-17 08:45:45,26,3,"IDAHOBIT, IDAHOT2019, EuropaistdieAntwort, Liebe, Europawahl2019",,,1129307004240093185,tweet
@bueti Warum haben die @Gruene_Europa nicht wie die SPD-Europaabgeordneten geschlossen gegen den EU-Verteidigungsfonds gestimmt? @HelgaTruepel @RebHarms,SPDEuropa,2019-05-16 20:44:15,0,0,,"bueti, Gruene_Europa, HelgaTruepel, RebHarms",,1129125432857640960,tweet
@bueti Abstimmungsverhalten der SPD-Europaabgeordneten zum EU-Verteidigungsfonds https://t.co/uuQG3Kcy3S,SPDEuropa,2019-05-16 19:53:01,1,0,,bueti,,1129112535679021057,tweet
"Danke für dieses erhellende #TVDuell an das @ZDF sowie alle ZuschauerInnen und Mittwitterer. Uns ist klar: Super-Frans kann’s. 

We❤️🇪🇺
#EuropaistdieAntwort #EuropeTogether #WeAreEuropeBaby",SPDEuropa,2019-05-16 19:46:53,21,2,"TVDuell, EuropaistdieAntwort, EuropeTogether, WeAreEuropeBaby",ZDF,,1129110994519826432,tweet
"Das #Brexit-Chaos wurde auch dadurch verursacht, dass Konservative Rechtspopulisten auf den Leim gegangen sind. #Cameron #Farage #TVDuell",SPDEuropa,2019-05-16 19:29:37,42,8,"Brexit, Cameron, Farage, TVDuell",,,1129106650315612160,tweet
"Europa braucht in der Verteidigungspolitik gemeinsame Planung und Zusammenarbeit statt Aufrüstung, wie es Frans @TimmermansEU sagt. Vor allem braucht es keine völlig überteuerten Prestigeprojekte wie einen Flugzeugträger, den @akk und @ManfredWeber vorschlagen. #TVDuell",SPDEuropa,2019-05-16 19:20:35,28,1,TVDuell,"TimmermansEU, akk, ManfredWeber",,1129104377099313152,tweet
"Mit @ManfredWeber s langjährigen Partnern in der EVP, @sebastiankurz oder Viktor Orbán, wird eine solidarische Flüchtlingspolitik, diplomatisch geschrieben, eher schwierig.",SPDEuropa,2019-05-16 19:14:35,20,7,,"ManfredWeber, sebastiankurz",,1129102865660862468,tweet
@Berkeraslando @ZDF @YaleCAN @ManfredWeber @EVP_DE @TimmermansEU https://t.co/13eiqmGY0n,SPDEuropa,2019-05-16 18:53:54,2,0,,"Berkeraslando, ZDF, YaleCAN, ManfredWeber, EVP_DE, TimmermansEU",https://t.co/13eiqmGY0n,1129097659099295746,tweet
@markuspreiss @ManfredWeber @TimmermansEU Richtig. Dennoch können sie Ihren Favoriten über dessen jeweilige österreichische Partei in dessen Fraktion stärken - SPÖ oder ÖVP.,SPDEuropa,2019-05-16 18:50:12,11,0,,"markuspreiss, ManfredWeber, TimmermansEU",,1129096727905148928,tweet
"Applaus für Frans @TimmermansEU s Lob an den #Mindestlohn in Deutschland, den die #SPD erfolgreich eingeführt hat. Konservative hatten ihn lange blockiert. Es gab apokalyptische Warnungen, er vernichte hunderttausende Arbeitsplätze - eine völlig falsche Annahme. #TVDuell",SPDEuropa,2019-05-16 18:44:38,43,6,"Mindestlohn, SPD, TVDuell",TimmermansEU,,1129095327972302851,tweet
"Weil im #TVDuell im @ZDF gerade zur #FridaysForFuture-Bewegung gefragt wird: Die NGO @YaleCAN nennt @ManfredWeber s @EVP_DE einen „Dinosaurier“, wenn es um Klimagesetzgebung geht. Frans @TimmermansEU sagte es gerade ... https://t.co/7W5BY4phx5",SPDEuropa,2019-05-16 18:31:58,37,10,"TVDuell, FridaysForFuture","ZDF, YaleCAN, ManfredWeber, EVP_DE, TimmermansEU",,1129092138745114630,tweet
@FAZ_Politik @PaulZiemiak 🤔 https://t.co/7caXhqVeWN,SPDEuropa,2019-05-16 13:30:35,17,0,,"FAZ_Politik, PaulZiemiak",,1129016293615652864,tweet
"@derkreuer @Ralf_Stegner @TimmermansEU ""Wir"" haben überhaupt kein Umweltministerium inne, weil wir im Europäischen Parlament sind. Und wer will in Deutschland eine CO2-Steuer verhindern? Kleiner Tipp: Die Umweltministerin ist es nicht.",SPDEuropa,2019-05-16 13:20:19,0,0,,"derkreuer, Ralf_Stegner, TimmermansEU",,1129013709597286401,tweet
.@TimmermansEU mit den meisten Erwähnungen während der #EurovisionDebate 💪 #ItsTime #EuropaistdieAntwort #Europawahl2019 https://t.co/IN8DYNfKpk,SPDEuropa,2019-05-16 13:09:38,34,3,"EurovisionDebate, ItsTime, EuropaistdieAntwort, Europawahl2019",TimmermansEU,https://t.co/IN8DYNfKpk,1129011021061009408,tweet
@DLFNachrichten @MitschAlexander @DLF https://t.co/SVANo0XEE3,SPDEuropa,2019-05-16 12:06:16,2,0,,"DLFNachrichten, MitschAlexander, DLF",,1128995076254982144,tweet
"""#Brexit sieht aus wie #GameofThrones auf Steroiden."" @TimmermansEU #EurovisionDebate #TellEurope #ItsTime #EuropaistdieAntwort #Europawahl2019 https://t.co/bkqsE6j4Vn",SPDEuropa,2019-05-15 20:19:40,19,4,"Brexit, GameofThrones, EurovisionDebate, TellEurope, ItsTime, EuropaistdieAntwort, Europawahl2019",TimmermansEU,,1128756855445053447,tweet
@RubinNischara @TimmermansEU Da haben andere europäische Staaten wie Irland oder Niederlande etwas gegen. Deswegen soll das Einstimmigkeitsprinzip in Steuerfragen abgeschafft werden. #Steueroasen,SPDEuropa,2019-05-15 20:06:17,2,0,Steueroasen,"RubinNischara, TimmermansEU",,1128753489465753600,tweet
"#Alexa, wann zahlt #Amazon endlich seine Steuern? @TimmermansEU #EurovisionDebate #TellEurope #ItsTime #EuropaistdieAntwort #Europawahl2019 https://t.co/cP8b9eUCyz",SPDEuropa,2019-05-15 20:00:11,14,0,"Alexa, Amazon, EurovisionDebate, TellEurope, ItsTime, EuropaistdieAntwort, Europawahl2019",TimmermansEU,,1128751954191110144,tweet
@ARDBruessel @ManfredWeber @TimmermansEU Hier sind die Taten im @Europarl_DE für alle nachvollziehbar #Dinosaurier #FridaysForFuture https://t.co/eMJn5NoZ6S,SPDEuropa,2019-05-15 19:54:45,2,0,"Dinosaurier, FridaysForFuture","ARDBruessel, ManfredWeber, TimmermansEU, Europarl_DE",https://t.co/eMJn5NoZ6S,1128750586323714049,tweet
"Dinosaurier im Klimaschutz, @ManfredWeber. #EurovisionDebate #TellEurope #ItsTime #EuropaistdieAntwort #Europawahl2019 #FridaysForFuture https://t.co/eMJn5NoZ6S",SPDEuropa,2019-05-15 19:50:40,16,2,"EurovisionDebate, TellEurope, ItsTime, EuropaistdieAntwort, Europawahl2019, FridaysForFuture",ManfredWeber,https://t.co/eMJn5NoZ6S,1128749558622773248,tweet
Überall wird über #Klimaschutz geredet. Aber wir müssen auch handeln. #FridaysForFuture #EurovisionDebate #TellEurope #ItsTime #EuropaistdieAntwort #Europawahl2019 https://t.co/Jfh0K1ii9b,SPDEuropa,2019-05-15 19:44:42,23,8,"Klimaschutz, FridaysForFuture, EurovisionDebate, TellEurope, ItsTime, EuropaistdieAntwort, Europawahl2019",,,1128748057535897607,tweet
.@TimmermansEU ist ein gefragter Diskussionspartner. 🥰#EurovisionDebate #TellEurope #EuropaistdieAntwort #Europawahl2019 #ItsTime,SPDEuropa,2019-05-15 19:32:49,24,2,"EurovisionDebate, TellEurope, EuropaistdieAntwort, Europawahl2019, ItsTime",TimmermansEU,,1128745064522559488,tweet
Wir brauchen mehr Solidarität in der EU und dürfen #Seenotrettung nicht kriminalisieren. #Migration #EurovisionDebate #ItsTime #Europawahl2019 #EuropaistdieAntwort https://t.co/s3XiTsBuU3,SPDEuropa,2019-05-15 19:23:26,26,8,"Seenotrettung, Migration, EurovisionDebate, ItsTime, Europawahl2019, EuropaistdieAntwort",,,1128742706749026305,tweet
@woelken Der Link funktioniert leider nicht. Hier eine Alternative: https://t.co/5l4FIfEA9q,SPDEuropa,2019-05-15 19:14:16,9,0,,woelken,https://t.co/5l4FIfEA9q,1128740396685721601,tweet
"Das Beste kommt zum Schluss, @TimmermansEU. #EurovisionDebate #ItsTime #EuropaistdieAntwort #Europawahl2019",SPDEuropa,2019-05-15 19:11:28,5,2,"EurovisionDebate, ItsTime, EuropaistdieAntwort, Europawahl2019",TimmermansEU,,1128739693972078592,tweet
"@HarmNeitzel @Europarl_DE @TimmermansEU @phoenix_de Sozialdemokraten, Linke, Grüne, Liberale, Konservative und Europaskeptiker. Vereinfacht.",SPDEuropa,2019-05-15 18:20:35,0,0,,"HarmNeitzel, Europarl_DE, TimmermansEU, phoenix_de",,1128726886245445632,tweet
Gleich geht's los #EurovisionDebate #EuropaistdieAntwort #ItsTime #Europawahl2019 https://t.co/uG6Dld9FKl,SPDEuropa,2019-05-15 18:18:15,2,3,"EurovisionDebate, EuropaistdieAntwort, ItsTime, Europawahl2019",,https://t.co/uG6Dld9FKl,1128726301341360128,tweet
Die letzten Vorbereitungen für die #EurovisionDebate im @Europarl_DE  heute Abend laufen. Wir unterstützen natürlich @TimmermansEU. Schaltet  ab 21 Uhr ein. Entweder bei @phoenix_de oder im Livestream. #ItsTime  #EuropaistdieAntwort #WeareEuropeBaby https://t.co/CVwyXIvYrf,SPDEuropa,2019-05-15 11:43:21,32,11,"EurovisionDebate, ItsTime, EuropaistdieAntwort, WeareEuropeBaby","Europarl_DE, TimmermansEU, phoenix_de",,1128626919073820678,tweet
"@chrbohnenkamp ""zzgl. Mehrwertsteuer""",SPDEuropa,2019-05-15 11:06:37,0,0,,,,1128617676253876224,tweet
"Die Familie in Brüssel anrufen? Den Freunden im #Erasmus-Semester in Madrid und Stockholm eine kurze #SMS schicken? Ab heute sind die #Anrufe und SMS ins EU-Ausland gedeckelt. Für Anrufe werden 19 Cent, für SMS 6 Cent zzgl. Mehrwehrsteuer fällig. #EuropaistdieAntwort https://t.co/mj2pMSDAJs",SPDEuropa,2019-05-15 09:46:02,23,6,"Erasmus, SMS, Anrufe, EuropaistdieAntwort",,,1128597396760481793,tweet
#EuropaistdieAntwort https://t.co/qREolJ7ocJ,SPDEuropa,2019-05-15 09:23:21,6,3,EuropaistdieAntwort,,https://t.co/qREolJ7ocJ,1128591689009049600,tweet
"„Wenn wir die erste supranationale Demokratie der Welt bauen wollen, dürfen die nationalen Regierungen die EU nicht nach Belieben maßregeln“, unser Vorsitzender 
@Europajens im Gespräch mit Dr. Klaus Gaßner, Redaktionsleiter der @BNN_BaNeuNa. #EuropaistdieAntwort
#WeAreEuropeBaby https://t.co/71jtklu6JQ",SPDEuropa,2019-05-14 13:33:56,3,2,"EuropaistdieAntwort, WeAreEuropeBaby","EuropaJens, BNN_BaNeuNa",,1128292364131405824,tweet
Moin! https://t.co/Izdd4oUfTb,SPDEuropa,2019-05-14 07:35:02,2,0,,,https://t.co/Izdd4oUfTb,1128202040449097728,tweet
Nur noch 13 Tage bis zur #Europawahl2019: Am 15. Mai findet die nächste TV-Debatte mit @TimmermansEU im @Europarl_DE statt. Hier ist sein Einspieler. #EuropaistdieAntwort #ItsTime #ThisTimeImVoting https://t.co/yJlU1bSfgK,SPDEuropa,2019-05-13 12:53:12,36,19,"Europawahl2019, EuropaistdieAntwort, ItsTime, ThisTimeImVoting","TimmermansEU, Europarl_DE",,1127919725617582080,tweet
"Klimaschutz einfach den ""Profis"" überlassen, oder @c_lindner? #fridays4future #EuropaistdieAntwort #Europawahl2019 https://t.co/MFJSXpyChP",SPDEuropa,2019-05-13 08:50:02,12,1,"fridays4future, EuropaistdieAntwort, Europawahl2019",c_lindner,https://t.co/MFJSXpyChP,1127858527521738753,tweet
😍 https://t.co/7XJsA5fMiG,SPDEuropa,2019-05-10 08:22:06,2,0,,,https://t.co/7XJsA5fMiG,1126764333470343168,tweet
#Mythbusters #EuropaistdieAntwort #Europawahl2019 https://t.co/lHHdQZgQZv,SPDEuropa,2019-05-09 13:57:30,13,4,"Mythbusters, EuropaistdieAntwort, Europawahl2019",,https://t.co/lHHdQZgQZv,1126486352810344448,tweet
9. Mai ist #Europatag! Grund zum Feiern. Deswegen wollen wir den 9. Mai auch zum europaweiten Feiertag machen. #Freuropa #EuropaistdieAntwort #ItsTime #WeareEuropebaby #Europawahl2019 https://t.co/FkqEWsTns0,SPDEuropa,2019-05-09 09:59:52,21,8,"Europatag, Freuropa, EuropaistdieAntwort, ItsTime, WeareEuropebaby, Europawahl2019",,,1126426552793747456,tweet
Es ist 2019. #EuropaistdieAntwort https://t.co/ygIGkxH3y3,SPDEuropa,2019-05-08 16:14:10,9,3,EuropaistdieAntwort,,https://t.co/ygIGkxH3y3,1126158360687071232,tweet
"@FrolleinEvi Wie naiv muss man sein, zu glauben, dass die Kachel und Tweet von den Abgeordneten selbst stammen? Recht hast du trotzdem. Kriegsende in Europa war der 8. Mai, Weltkriegsende am 2. September. Danke für den Hinweis.",SPDEuropa,2019-05-08 10:59:09,0,0,,FrolleinEvi,,1126079082037489670,tweet
Vor 74 Jahren endete der 2. Weltkrieg mit der Kapitulation Deutschlands. Nie wieder dürfen Nationalismus und Terror von Deutschland ausgehen. Nie wieder Krieg! #TagderBefreiung #8Mai #EuropaistdieAntwort https://t.co/x7ITiNiEdj,SPDEuropa,2019-05-08 08:43:41,156,55,"TagderBefreiung, 8Mai, EuropaistdieAntwort",,,1126044991212666880,tweet
@henningtillmann Europa liebt er ja. Gute Voraussetzungen. https://t.co/Q0pQxm8ApG,SPDEuropa,2019-05-07 21:10:19,1,0,,henningtillmann,https://t.co/Q0pQxm8ApG,1125870501212164096,tweet
@henningtillmann Kloppo 4 SPD-Bundeskanzler?,SPDEuropa,2019-05-07 21:04:39,3,0,,henningtillmann,,1125869071860490242,tweet
https://t.co/gWxlzYIPeH,SPDEuropa,2019-05-07 20:35:47,8,0,,,,1125861807258783744,tweet
"@spdde ""CDU-Politiker Markus Weber aus Niederbayern überzeugt in der Wahlarena nicht."" https://t.co/FwIDUCiqju",SPDEuropa,2019-05-07 20:28:10,19,1,,spdde,,1125859890973552643,tweet
@EPP @PES_PSE Wait. Actually it was #Orbán who backed away.,SPDEuropa,2019-05-07 20:02:07,1,0,Orbán,"EPP, PES_PSE",,1125853337251872768,tweet
@EPP @PES_PSE We didn't need a decade to act. https://t.co/DSRRD2rWKE,SPDEuropa,2019-05-07 19:49:06,3,0,,"EPP, PES_PSE",https://t.co/DSRRD2rWKE,1125850060049321986,tweet
@PES_PSE https://t.co/B8OE1gzl1s,SPDEuropa,2019-05-07 19:33:22,13,0,,PES_PSE,,1125846103008710658,tweet
Ohne das #Spitzenkandidaten-Prinzip wäre die EU weniger demokratisch und die #Wahlarena würde es gar nicht geben. #EuropaistdieAntwort #Europawahl2019,SPDEuropa,2019-05-07 19:30:08,20,7,"Spitzenkandidaten, Wahlarena, EuropaistdieAntwort, Europawahl2019",,,1125845287854137344,tweet
Das war unsere Idee! #SozialesEuropa #Wahlarena #Europawahl2019 #EuropaistdieAntwort https://t.co/BwcmtdxBLJ,SPDEuropa,2019-05-07 19:14:53,11,3,"SozialesEuropa, Wahlarena, Europawahl2019, EuropaistdieAntwort",,https://t.co/BwcmtdxBLJ,1125841448182648833,tweet
@spdde @ManfredWeber https://t.co/xokMWBD1vo,SPDEuropa,2019-05-07 19:09:05,2,0,,"spdde, ManfredWeber",,1125839990779469826,tweet
@MoDeutschmann @pinatifuror @LillyBlaudszun @janboehm https://t.co/hBgqDbbHU9,SPDEuropa,2019-05-07 19:08:13,1,0,,"MoDeutschmann, pinatifuror, LillyBlaudszun, janboehm",,1125839772902219776,tweet
"Ist Transparenz wirklich keine Frage, @ManfredWeber? #Wahlarena #EuropaistdieAntwort #Europawahl2019   https://t.co/4SLnSqdDzv",SPDEuropa,2019-05-07 19:06:53,34,10,"Wahlarena, EuropaistdieAntwort, Europawahl2019",ManfredWeber,https://t.co/4SLnSqdDzv,1125839436447735815,tweet
"In der #Wahlarena behauptet @ManfredWeber, er würde sich für eine ökologische Landwirtschaft einsetzen. Nachdem die @EVP_DE im Agrarauschuss beim Thema Bindung der Fördermittel an Klimaschutz etc. blockiert hat #mythbusters #EuropaistdieAntwort",SPDEuropa,2019-05-07 18:43:01,68,19,"Wahlarena, mythbusters, EuropaistdieAntwort","ManfredWeber, EVP_DE",,1125833431248773122,tweet
@PeterMueller9 @ManfredWeber @TimmermansEU @SPIEGELONLINE ...die @ManfredWeber nicht machen will.,SPDEuropa,2019-05-07 18:37:31,1,0,,"PeterMueller9, ManfredWeber, TimmermansEU, SPIEGELONLINE, ManfredWeber",,1125832044511137794,tweet
Btw https://t.co/Lvot83MIzT,SPDEuropa,2019-05-07 18:01:16,0,0,,,,1125822925515444230,tweet
"Süßes oder salziges Popcorn? Egal, hauptsache die #Wahlarena mit @TimmermansEU schauen. #EuropaistdieAntwort #Europawahl2019 https://t.co/ulrkl10qZR",SPDEuropa,2019-05-07 17:56:32,14,2,"Wahlarena, EuropaistdieAntwort, Europawahl2019",TimmermansEU,https://t.co/ulrkl10qZR,1125821733913735170,tweet
".@EuropaJens: „Solange Großbritannien EU-Mitgliedstaat ist, haben die Britinnen und  Briten selbstverständlich das europäische Bürgerrecht, an den Europawahlen teilzunehmen.“ #Brexit #Europawahl2019 #EuropaistdieAntwort https://t.co/M984iKn0kv",SPDEuropa,2019-05-07 17:48:08,4,2,"Brexit, Europawahl2019, EuropaistdieAntwort",EuropaJens,https://t.co/M984iKn0kv,1125819620294844416,tweet
#EuropaistdieAntwort https://t.co/RiQRiXICoZ https://t.co/I31VeFaLM9,SPDEuropa,2019-05-07 14:00:30,17,6,EuropaistdieAntwort,,https://t.co/RiQRiXICoZ,1125762333945540608,tweet
"Ja, ist denn heut' schon Weihnachten? https://t.co/pQkWzvRHOg https://t.co/fghfNDxNvr",SPDEuropa,2019-05-07 11:43:32,7,0,,,https://t.co/pQkWzvRHOg,1125727864924536832,tweet
Heute Abend um 20:15 Uhr! Einschalten! #Wahlarena #EuropaistdieAntwort #Europawahl2019 https://t.co/sG02dPvuY8,SPDEuropa,2019-05-07 11:16:27,5,4,"Wahlarena, EuropaistdieAntwort, Europawahl2019",,https://t.co/sG02dPvuY8,1125721047188287488,tweet
#Orban https://t.co/1bLIAe4cr7,SPDEuropa,2019-05-07 07:41:52,9,2,Orban,,https://t.co/1bLIAe4cr7,1125667047164321792,tweet
@TimSchmuckall @JurgenPresser https://t.co/Ab46c7Krr7,SPDEuropa,2019-05-06 13:42:04,1,0,,"TimSchmuckall, JurgenPresser",,1125395304671584256,tweet
@handelsblatt Die EU scheint wohl nicht international genug zu sein. #Heuchler #NiemehrCDUCSU https://t.co/yz8s9o9omy,SPDEuropa,2019-05-06 13:34:47,1,0,"Heuchler, NiemehrCDUCSU",handelsblatt,,1125393473874669569,tweet
Wie wir uns in Zukunft zu klima- und umweltpolitischen Themen verhalten werden: https://t.co/e10o3cZvp2 https://t.co/4qn7Oll9iH,SPDEuropa,2019-05-06 12:49:04,9,3,,,https://t.co/e10o3cZvp2,1125381968651329536,tweet
Wie wir uns in der Vergangenheit zum #Klimaschutz verhalten haben: https://t.co/13eiqmGY0n https://t.co/RJMFW1QqBn,SPDEuropa,2019-05-06 12:49:03,8,4,Klimaschutz,,https://t.co/13eiqmGY0n,1125381965014818823,tweet
"Eine Million Tier- und Pflanzenarten sind laut #IPBES-Studie vom Aussterben bedroht. Und trotzdem nehmen Konservative und Liberale #FridaysForFurture nicht ernst, verhindern eine CO2-Steuer und verhindern auf europäischen Ebene #Umweltschutz. #EuropaistdieAntwort https://t.co/yjJrpOkzHs",SPDEuropa,2019-05-06 12:49:03,17,7,"IPBES, FridaysForFurture, Umweltschutz, EuropaistdieAntwort",,,1125381962712190976,tweet
https://t.co/4AdIBBV72T #SoSehIchEuropa https://t.co/IrU8A0C6YU,SPDEuropa,2019-05-03 13:15:29,1,0,SoSehIchEuropa,,"https://t.co/4AdIBBV72T, https://t.co/IrU8A0C6YU",1124301454272081921,tweet
Probiert es mal mit #EuropaistdieAntwort und schaut was dabei rauskommt. #wahlomat #Europawahl2019 https://t.co/MwYvCOcjXa,SPDEuropa,2019-05-03 09:56:01,15,4,"EuropaistdieAntwort, wahlomat, Europawahl2019",,https://t.co/MwYvCOcjXa,1124251254358773761,tweet
"Die Europawahl 2019 naht. Populisten blasen zum Angriff. Warum ist die #EU so wichtig?@EuropaJens, Vorsitzender der Europa-SPD &amp; Europa-Staatsminister @MiRo_SPD diskutieren Freitag mit @correctiv_ruhr-Reporter @MarcusBensmann in Essen, Livestream folgt:
https://t.co/TKuErjM2U7",SPDEuropa,2019-05-02 07:25:27,15,4,EU,"EuropaJens, MiRo_SPD, correctiv_ruhr, MarcusBensmann",https://t.co/TKuErjM2U7,1123850975599583234,tweet
@nicolabeerfdp @ThomasMaron1 Danke. Wir bleiben am Ball 💪,fdp,2019-05-22 16:46:25,29,0,,"nicolabeerfdp, ThomasMaron1",,1131239905336745985,tweet
"Wir wollen die #Beitrittsverhandlungen der EU 🇪🇺 mit der Türkei 🇹🇷 in der bisherigen Form beenden und die damit verbundene finanzielle Unterstützung einstellen.  #ChancenNutzen 🚀 #EP2019 #Europawahl2019
➡️ https://t.co/pHSV8VREyV https://t.co/D3zoX5mFlA",fdp,2019-05-22 08:02:02,213,34,"Beitrittsverhandlungen, ChancenNutzen, EP2019, Europawahl2019",,https://t.co/pHSV8VREyV,1131107941208207360,tweet
"Von der EU 🇪🇺 profitieren alle: freies Reisen, überall leben, überall sich niederlassen und arbeiten, zu leben und lieben, wie man möchte, so @nicolabeerfdp.  #wasmireuropabringt #ChancenNutzen 🚀 #Europawahl2019  #EP2019 Mehr dazu:  https://t.co/TkaXrUrWaf https://t.co/4pAkYdFUlJ",fdp,2019-05-21 20:51:46,41,7,"wasmireuropabringt, ChancenNutzen, Europawahl2019, EP2019",nicolabeerfdp,https://t.co/TkaXrUrWaf,1130939261371461638,tweet
"@CSU ;) #wasmireuropabringt #ChancenNutzen 🚀 #EP2019 #Europawahl2019
https://t.co/5YHqI2S82F https://t.co/UhkKrJUmmF",fdp,2019-05-21 20:32:18,8,0,"wasmireuropabringt, ChancenNutzen, EP2019, Europawahl2019",CSU,https://t.co/5YHqI2S82F,1130934360964784128,tweet
"Wir brauchen ein System, das fair und human ist. Wir wollen zwischen #Asyl, #Flucht und #Zuwanderung (mit Punktesystem) unterscheiden, so @nicolabeerfdp #wasmireuropabringt #ChancenNutzen 🚀 #EP2019 #Europawahl2019 https://t.co/Ucyg8MKbuD https://t.co/IY12THBAt3",fdp,2019-05-21 20:27:00,65,13,"Asyl, Flucht, Zuwanderung, wasmireuropabringt, ChancenNutzen, EP2019, Europawahl2019",nicolabeerfdp,https://t.co/Ucyg8MKbuD,1130933028593786881,tweet
"Soweit Mitgliedstaaten nicht zur Aufnahme in der Lage sind, werden die Flüchtlinge auf andere Mitgliedstaaten mit der Maßgabe aufgeteilt, dass der nicht-aufnehmende Staat die Kosten der  Aufnahme übernimmt.  #wasmireuropabringt #ChancenNutzen 🚀 #EP2019 https://t.co/BCkIFCCKH1",fdp,2019-05-21 20:22:13,21,3,"wasmireuropabringt, ChancenNutzen, EP2019",,https://t.co/BCkIFCCKH1,1130931825109602305,tweet
"Wir bekennen uns klar zur Rettung von Menschenleben. Aus diesem Grund soll #Frontex auch Aufgaben der Hochseenotrettung im  Mittelmeer wahrnehmen, um weitere Tote durch kenternde Schlepperboote  zu verhindern. #wasmireuropabringt #ChancenNutzen 🚀#EP2019 https://t.co/BCkIFCCKH1",fdp,2019-05-21 20:17:08,29,5,"Frontex, wasmireuropabringt, ChancenNutzen, EP2019",,https://t.co/BCkIFCCKH1,1130930544940916741,tweet
Wir brauchen eine EU-weite #Gefährderdatei. 💪Hierzu bedarf es 1️⃣einheitliche Definition des Gefährder-Begriffs 2️⃣strenge Einhaltung von Datenschutzgesetze 3️⃣ hohe Qualitätsstandards hinsichtlich der Informationen. #EP2019 #wasmireuropabringt https://t.co/9XKC04THHU https://t.co/l0Cv2ll9Rt,fdp,2019-05-21 20:13:35,28,8,"Gefährderdatei, EP2019, wasmireuropabringt",,https://t.co/9XKC04THHU,1130929652820844547,tweet
